cum_n_games,season,competition,round,date,team,venue,opponent,result,goals,cum_goals,minutes_played
136,2023,Primera División,Matchweek 6,2023-02-25,Univ Católica,Home,Palestino,W,1,85,90
137,2023,Primera División,Matchweek 7,2023-03-03,Univ Católica,Away,Ñublense,W,1,86,90
138,2023,Sudamericana,First stage,2023-03-07,Univ Católica,Away,Audax Italiano,L,2,88,90
139,2023,Primera División,Matchweek 8,2023-03-12,Univ Católica,Home,Unión Española,D,2,90,90
140,2023,Primera División,Matchweek 9,2023-03-19,Univ Católica,Away,Deportes Magallanes,D,0,90,90
141,2022,Copa Chile,First Round,2023-04-09,Univ Católica,Away,Deportes Colina,D,1,91,90
142,2023,Primera División,Matchweek 10,2023-04-15,Univ Católica,Home,Colo-Colo,D,0,91,90
143,2023,Primera División,Matchweek 11,2023-04-22,Univ Católica,Home,O'Higgins,L,0,91,90
144,2023,Primera División,Matchweek 13,2023-05-10,Univ Católica,Home,Huachipato,L,1,92,90
145,2023,Primera División,Matchweek 14,2023-05-14,Univ Católica,Away,Deportes Copiapó,W,2,94,90
146,2023,Primera División,Matchweek 15,2023-05-20,Univ Católica,Home,La Calera,D,0,94,90
147,2023,Primera División,Matchweek 12,2023-06-28,Univ Católica,Away,U de Chile,L,0,94,30
148,2022,Copa Chile,Second Round,2023-07-03,Univ Católica,Home,Wanderers,W,0,94,12
149,2023,Primera División,Matchweek 16,2023-07-08,Univ Católica,Home,Everton,L,0,94,31
150,2023,Primera División,Matchweek 17,2023-07-16,Univ Católica,Away,Curico Unido,L,0,94,90
151,2023,Primera División,Matchweek 18,2023-07-23,Univ Católica,Home,Coquimbo Unido,W,1,95,90
152,2023,Primera División,Matchweek 19,2023-07-29,Univ Católica,Away,Cobresal,D,1,96,90
153,2023,Primera División,Matchweek 20,2023-08-05,Univ Católica,Home,Audax Italiano,L,0,96,90
154,2022,Copa Chile,Round of 16,2023-08-10,Univ Católica,Home,CD Everton,D,0,96,90
155,2023,Primera División,Matchweek 21,2023-08-13,Univ Católica,Away,Palestino,L,0,96,90
